MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.7-3 , Train Loss: 0.0106, Train Accuracy: 98.19, Validation Loss: 1.9916, Validation Accuracy: 62.14%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.8-3 , Train Loss: 0.0295, Train Accuracy: 98.21, Validation Loss: 2.3808, Validation Accuracy: 57.39%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.9-3 , Train Loss: 0.0531, Train Accuracy: 98.18, Validation Loss: 2.7589, Validation Accuracy: 50.41%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.95-3 , Train Loss: 0.0311, Train Accuracy: 99.64, Validation Loss: 2.6300, Validation Accuracy: 45.59%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0-3 , Train Loss: 0.0077, Train Accuracy: 96.50, Validation Loss: 0.3931, Validation Accuracy: 75.52%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.3-3 , Train Loss: 0.0067, Train Accuracy: 96.86, Validation Loss: 0.4540, Validation Accuracy: 71.74%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.5-3 , Train Loss: 0.0178, Train Accuracy: 96.26, Validation Loss: 0.4889, Validation Accuracy: 68.95%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.7-3 , Train Loss: 0.0093, Train Accuracy: 97.01, Validation Loss: 0.5451, Validation Accuracy: 65.23%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.8-3 , Train Loss: 0.0161, Train Accuracy: 97.68, Validation Loss: 0.6263, Validation Accuracy: 60.45%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.9-3 , Train Loss: 0.0514, Train Accuracy: 97.80, Validation Loss: 0.7578, Validation Accuracy: 50.46%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.95-3 , Train Loss: 0.0545, Train Accuracy: 98.24, Validation Loss: 0.7582, Validation Accuracy: 47.81%
MODEL:resnet18_MNIST , Train Loss: 0.0029, Train Accuracy: 95.57, Validation Loss: 0.0609, Validation Accuracy: 97.96%


MODEL:resnet18_CIFAR10_E1_1 , Train Loss: 0.0811, Train Accuracy: 91.66, Validation Loss: 0.8463, Validation Accuracy: 75.14%
MODEL:resnet18-CIFAR10-random-0.3-1 , Train Loss: 0.0564, Train Accuracy: 75.65, Validation Loss: 0.9264, Validation Accuracy: 68.72%
MODEL:resnet18-CIFAR10-random-0.5-1 , Train Loss: 0.1786, Train Accuracy: 73.49, Validation Loss: 1.1225, Validation Accuracy: 62.73%
MODEL:resnet18-CIFAR10-random-0.7-1 , Train Loss: 0.1247, Train Accuracy: 69.27, Validation Loss: 1.3100, Validation Accuracy: 57.32%
MODEL:resnet18-CIFAR10-random-0.8-1 , Train Loss: 0.3453, Train Accuracy: 66.27, Validation Loss: 1.4922, Validation Accuracy: 50.05%
MODEL:resnet18-CIFAR10-random-0.9-1 , Train Loss: 1.0467, Train Accuracy: 62.89, Validation Loss: 1.6038, Validation Accuracy: 46.79%
MODEL:resnet18-CIFAR10-random-0.95-1 , Train Loss: 1.1503, Train Accuracy: 58.12, Validation Loss: 2.0126, Validation Accuracy: 38.44%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.3-1 , Train Loss: 0.0663, Train Accuracy: 92.00, Validation Loss: 0.8663, Validation Accuracy: 71.14%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.5-1 , Train Loss: 0.1789, Train Accuracy: 91.94, Validation Loss: 0.8835, Validation Accuracy: 67.07%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.7-1 , Train Loss: 0.1138, Train Accuracy: 92.69, Validation Loss: 0.9159, Validation Accuracy: 60.43%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.8-1 , Train Loss: 0.2698, Train Accuracy: 93.86, Validation Loss: 0.9311, Validation Accuracy: 57.23%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.9-1 , Train Loss: 0.7578, Train Accuracy: 94.04, Validation Loss: 0.9640, Validation Accuracy: 50.63%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.95-1 , Train Loss: 0.7676, Train Accuracy: 91.68, Validation Loss: 0.9799, Validation Accuracy: 44.57%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.3-1 , Train Loss: 0.0659, Train Accuracy: 92.19, Validation Loss: 0.8630, Validation Accuracy: 72.23%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.5-1 , Train Loss: 0.1784, Train Accuracy: 92.47, Validation Loss: 0.8849, Validation Accuracy: 68.26%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.7-1 , Train Loss: 0.1147, Train Accuracy: 92.08, Validation Loss: 0.9012, Validation Accuracy: 63.39%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.8-1 , Train Loss: 0.2707, Train Accuracy: 93.18, Validation Loss: 0.9236, Validation Accuracy: 58.65%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.9-1 , Train Loss: 0.7578, Train Accuracy: 93.63, Validation Loss: 0.9441, Validation Accuracy: 53.45%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.95-1 , Train Loss: 0.7555, Train Accuracy: 94.28, Validation Loss: 0.9715, Validation Accuracy: 43.98%
MODEL:resnet18_CIFAR10_E1_2 , Train Loss: 0.0816, Train Accuracy: 91.32, Validation Loss: 0.8500, Validation Accuracy: 74.32%
MODEL:resnet18-CIFAR10-random-0.3-2 , Train Loss: 0.0581, Train Accuracy: 75.47, Validation Loss: 0.9475, Validation Accuracy: 68.16%
MODEL:resnet18-CIFAR10-random-0.5-2 , Train Loss: 0.1757, Train Accuracy: 72.80, Validation Loss: 1.0046, Validation Accuracy: 66.65%
MODEL:resnet18-CIFAR10-random-0.7-2 , Train Loss: 0.1209, Train Accuracy: 70.63, Validation Loss: 1.2702, Validation Accuracy: 57.27%
MODEL:resnet18-CIFAR10-random-0.8-2 , Train Loss: 0.3295, Train Accuracy: 66.58, Validation Loss: 1.3731, Validation Accuracy: 54.58%
MODEL:resnet18-CIFAR10-random-0.9-2 , Train Loss: 1.0535, Train Accuracy: 62.45, Validation Loss: 1.8668, Validation Accuracy: 39.89%
MODEL:resnet18-CIFAR10-random-0.95-2 , Train Loss: 1.0368, Train Accuracy: 60.40, Validation Loss: 2.4919, Validation Accuracy: 32.68%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.3-2 , Train Loss: 0.0663, Train Accuracy: 91.67, Validation Loss: 0.8628, Validation Accuracy: 72.02%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.5-2 , Train Loss: 0.1790, Train Accuracy: 92.02, Validation Loss: 0.8744, Validation Accuracy: 69.90%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.7-2 , Train Loss: 0.1137, Train Accuracy: 92.55, Validation Loss: 0.9022, Validation Accuracy: 63.62%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.8-2 , Train Loss: 0.2687, Train Accuracy: 93.44, Validation Loss: 0.9393, Validation Accuracy: 56.67%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.9-2 , Train Loss: 0.7529, Train Accuracy: 94.82, Validation Loss: 0.9677, Validation Accuracy: 49.57%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.95-2 , Train Loss: 0.7578, Train Accuracy: 93.68, Validation Loss: 0.9711, Validation Accuracy: 45.65%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.3-2 , Train Loss: 0.0661, Train Accuracy: 92.20, Validation Loss: 0.8565, Validation Accuracy: 73.70%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.5-2 , Train Loss: 0.1785, Train Accuracy: 92.26, Validation Loss: 0.8684, Validation Accuracy: 70.79%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.7-2 , Train Loss: 0.1136, Train Accuracy: 92.73, Validation Loss: 0.9016, Validation Accuracy: 63.87%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.8-2 , Train Loss: 0.2714, Train Accuracy: 93.25, Validation Loss: 0.9203, Validation Accuracy: 59.74%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.9-2 , Train Loss: 0.7555, Train Accuracy: 94.31, Validation Loss: 0.9708, Validation Accuracy: 49.46%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.95-2 , Train Loss: 0.7604, Train Accuracy: 93.52, Validation Loss: 0.9699, Validation Accuracy: 46.44%
MODEL:resnet18_CIFAR10_E1_3 , Train Loss: 0.0809, Train Accuracy: 91.40, Validation Loss: 0.8542, Validation Accuracy: 73.86%
MODEL:resnet18-CIFAR10-random-0.3-3 , Train Loss: 0.0576, Train Accuracy: 76.35, Validation Loss: 1.0523, Validation Accuracy: 64.21%
MODEL:resnet18-CIFAR10-random-0.5-3 , Train Loss: 0.1755, Train Accuracy: 73.63, Validation Loss: 0.9774, Validation Accuracy: 66.70%
MODEL:resnet18-CIFAR10-random-0.7-3 , Train Loss: 0.1266, Train Accuracy: 69.99, Validation Loss: 1.4176, Validation Accuracy: 52.32%
MODEL:resnet18-CIFAR10-random-0.8-3 , Train Loss: 0.3246, Train Accuracy: 67.52, Validation Loss: 1.3591, Validation Accuracy: 54.27%
MODEL:resnet18-CIFAR10-random-0.9-3 , Train Loss: 1.0537, Train Accuracy: 62.17, Validation Loss: 1.8326, Validation Accuracy: 42.17%
MODEL:resnet18-CIFAR10-random-0.95-3 , Train Loss: 0.8768, Train Accuracy: 67.64, Validation Loss: 2.5274, Validation Accuracy: 34.16%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.3-3 , Train Loss: 0.0659, Train Accuracy: 92.06, Validation Loss: 0.8659, Validation Accuracy: 71.44%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.5-3 , Train Loss: 0.1798, Train Accuracy: 92.15, Validation Loss: 0.8859, Validation Accuracy: 67.51%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.7-3 , Train Loss: 0.1148, Train Accuracy: 92.46, Validation Loss: 0.9059, Validation Accuracy: 62.15%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.8-3 , Train Loss: 0.2716, Train Accuracy: 93.15, Validation Loss: 0.9418, Validation Accuracy: 54.99%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.9-3 , Train Loss: 0.7578, Train Accuracy: 93.63, Validation Loss: 0.9842, Validation Accuracy: 45.68%
MODEL:resnet18-EvidenceLoss-CIFAR10-EVIDENCE-balanced_by_score-0.95-3 , Train Loss: 0.7645, Train Accuracy: 92.16, Validation Loss: 0.9753, Validation Accuracy: 45.77%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.3-3 , Train Loss: 0.0660, Train Accuracy: 92.14, Validation Loss: 0.8746, Validation Accuracy: 68.77%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.5-3 , Train Loss: 0.1787, Train Accuracy: 92.09, Validation Loss: 0.8930, Validation Accuracy: 65.96%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.7-3 , Train Loss: 0.1148, Train Accuracy: 92.50, Validation Loss: 0.9334, Validation Accuracy: 57.08%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.8-3 , Train Loss: 0.2713, Train Accuracy: 93.30, Validation Loss: 0.9285, Validation Accuracy: 58.55%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.9-3 , Train Loss: 0.7543, Train Accuracy: 94.63, Validation Loss: 0.9592, Validation Accuracy: 50.66%
MODEL:resnet18-EvidenceLoss-CIFAR10-BELIEF-balanced_by_score-0.95-3 , Train Loss: 0.7594, Train Accuracy: 94.32, Validation Loss: 0.9805, Validation Accuracy: 43.21%
